成員, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
凌魂丨笑容, 65190714, 262767, 7555, 0, 160496109, 575144, 11591, 268765, 27260, 司隸, 閒雲
凌魂丨魔狼, 42486471, 224069, 7280, 0, 119616720, 394072, 13531, 402393, 32600, 司隸, 天狼星
Sakura, 60978023, 250002, 9099, 0, 144298131, 515171, 15560, 85953, 29755, 司隸, 炮灰
炮灰丨千里, 27392596, 286208, 20227, 0, 100160968, 496479, 26399, 494354, 27670, 司隸, 炮灰
凌魂丨戢武, 6997217, 61651, 4360, 0, 39720785, 107970, 6877, 447826, 20570, 司隸, 天狼星
銀劍神騎, 56716011, 265839, 6372, 0, 146940676, 528457, 12630, 90181, 28443, 司隸, 銀劍
銀劍東松, 46765616, 354810, 5291, 0, 170201846, 678990, 11868, 306160, 30160, 司隸, 金槍
凌魂丨銀時, 45177802, 115878, 1674, 0, 122898250, 386594, 3561, 266078, 26270, 司隸, 閒雲
玩命丨歐吉桑, 38056563, 244628, 6975, 0, 125330384, 425811, 9813, 83723, 29213, 司隸, 淩魂
狼燚丨阿胖, 37938104, 282880, 4476, 0, 114789637, 546896, 6129, 520830, 26030, 司隸, 閒雲
凌魂丨馬革, 34714147, 294535, 12195, 0, 102742506, 500020, 16650, 81947, 27343, 司隸, 淩魂
凌魂丨天水, 34705195, 227977, 5507, 0, 119175932, 457614, 10114, 932401, 24903, 司隸, 天狼星
龍丨肥龍, 19476968, 102585, 1863, 0, 83129516, 229286, 7829, 0, 16820, 司隸, 流浪動物
獨居老年人, 19182815, 149221, 8671, 0, 59782115, 304551, 19332, 410124, 25023, 司隸, 炮灰
月丨巴宅阿瑞, 16349184, 112125, 13029, 0, 64897679, 182773, 16438, 609919, 24780, 司隸, 肥宅
銀劍發春仔, 65335270, 125031, 3219, 0, 197972847, 267522, 6207, 422706, 29020, 司隸, 銀劍
銀劍梅長蘇, 58572508, 109015, 2508, 0, 142896657, 152585, 6582, 580220, 28930, 司隸, 金槍
銀劍孫公, 55930719, 260116, 6342, 0, 149526316, 544432, 16553, 257649, 31120, 司隸, 銀劍
