"成員","2023-06-18_原始分數","2023-06-18_日期加權分數","2023-06-20_原始分數","2023-06-20_日期加權分數","2023-06-22_原始分數","2023-06-22_日期加權分數","2023-06-23_原始分數","2023-06-23_日期加權分數","2023-06-24_原始分數","2023-06-24_日期加權分數","2023-06-25_原始分數","2023-06-25_日期加權分數","2023-06-26_原始分數","2023-06-26_日期加權分數","2023-06-27_原始分數","2023-06-27_日期加權分數","2023-06-28_原始分數","2023-06-28_日期加權分數","總得分","總排名"
"銀劍東松","192","211.20000000000002","192","172.8","184","128.79999999999998","188","112.8","179","89.5","187","74.8","169","50.699999999999996","152","30.400000000000002","132","13.200000000000001","884.1999999999999","1"
"愛吃橘里","188","206.8","189","170.1","174","121.8","190","114","169","84.5","189","75.60000000000001","189","56.699999999999996","173","34.6","153","15.3","879.4000000000001","2"
"凌魂丨笑容","189","207.9","161","144.9","180","125.99999999999999","187","112.2","184","92","193","77.2","185","55.5","185","37","187","18.7","871.4000000000001","3"
"銀劍孫公","191","210.10000000000002","171","153.9","189","132.29999999999998","163","97.8","181","90.5","170","68","183","54.9","180","36","159","15.9","859.3999999999999","4"
"葉否放","186","204.60000000000002","165","148.5","173","121.1","191","114.6","186","93","146","58.400000000000006","192","57.599999999999994","189","37.800000000000004","191","19.1","854.7","5"
"宇治","176","193.60000000000002","193","173.70000000000002","193","135.1","192","115.19999999999999","115","57.5","160","64","191","57.3","193","38.6","192","19.200000000000003","854.2000000000002","6"
"凌魂丨馬革","159","174.9","188","169.20000000000002","192","134.39999999999998","180","108","187","93.5","191","76.4","144","43.199999999999996","176","35.2","183","18.3","853.1","7"
"炑炑","187","205.70000000000002","184","165.6","186","130.2","186","111.6","174","87","132","52.800000000000004","156","46.8","175","35","155","15.5","850.1999999999999","8"
"狼燚丨阿胖","174","191.4","185","166.5","188","131.6","155","93","192","96","188","75.2","128","38.4","186","37.2","189","18.900000000000002","848.2","9"
"銀劍神騎","184","202.4","186","167.4","137","95.89999999999999","182","109.2","178","89","190","76","193","57.9","181","36.2","140","14","848","10"
